The Man With the Rubber Head,Georges Méliès,1901,67,t
The Execution of Czolgosz,Edwin S. Porter,1901,66,t
Dream and Reality,Pathé Freres,1901,65,t
Kansas Saloon Smashers,Edwin S. Porter,1901,64,t
The Finish of Bridget McKeen,Edwin S. Porter,1901,63,t
Peeping Tom,Pathé Frères,1901,62,t
The Old Maid Having Her Picture Taken,Edwin S. Porter,1901,61,t
Love by the Light of the Moon,Edwin S. Porter,1901,60,t
The Countryman and the Cinematograph,R.W. Paul,1901,58,t
Martyred Presidents,Edwin S. Porter,1901,57,t
Stop Thief!,James Williamson,1901,55,t
Fire!,James Williamson,1901,53,t
Daring Daylight Burglary,Frank Mottershaw,1901,51,t
"Terrible Teddy, the Grizzly King",Edwin S. Porter,1901,50,t
"Mont Blanc, the Alps",Lumière,1901,50,t
Capture of the Biddle Brothers,Edwin S. Porter,1901,49,t
Sampson and Schley Controversy,Edwin S. Porter,1901,48,t
Circular Panorama of the Electric Tower,Edwin S. Porter,1901,47,t
Panorama of Esplenade by Night,Edwin S. Porter,1901,46,t
Sampson and Schley Controversy - Tea Party,Edwin S. Porter,1901,45,t
Star Theatre,Frederick S. Armitage,1901,44,t
Taking President McKinley's Body From the Train,Edwin S. Porter,1901,43,t
A Trip to the Moon,Georges Méliès,1902,72,t
The Victims of Alcoholism,Ferdinand Zecca,1902,71,t
Fun in a Bakery Shop,Edwin S. Porter,1902,66,t
Jack and the Beanstalk,Edwin S. Porter,1902,67,t
Quo Vadis?,Ferdinand Zecca,1902,64,t
Uncle Josh at the Moving Picture Show,Edwin S. Porter,1902,63,t
The Twentieth Century Tramp,Edwin S. Porter,1902,62,t
How They Do Things on the Bowery,Edwin S. Porter,1902,61,t
Appointment By Telephone,Edwin S. Porter,1902,60,t
"Arrival of the Governor General, Lord Minto at Quebec",William S. Paley,1902,45,t
"Levi and Cohen, the Irish Comedians",Edwin S. Porter,1902,48,t
"Bird's-Eye View of San Francisco, Cal., From a Balloon",Edison,1902,44,t
Kingdom of the Fairies,Georges Méliès,1903,73,t
The Great Train Robbery,Edwin S. Porter,1903,73,t
The Enchanter Alcofisbas,Georges Méliès,1903,68,t
Ten Ladies in One Umbrella,Georges Méliès,1903,67,t
The Magic Lantern,Georges Méliès,1903,66,t
The Spiritualist Photographer,Georges Méliès,1903,65,t
The Inn Where No Man Rests,Georges Méliès,1903,64,t
The 20th Century Illusionist,Georges Méliès,1903,63,t
The Enchanted Well,Georges Méliès,1903,62,t
The Gay Shoe Clerk,Edwin S. Porter,1903,62,t
A Chess Dispute,R.W. Paul,1903,58,t
Life of an American Fireman,Edwin S. Porter,1903,62,t
The Apparition,Georges Méliès,1903,61,t
the Drawing Lesson,Georges Méliès,1903,60,t
The Oracle of Delphi,Georges Méliès,1903,59,t
The Infernal Cake-walk,Georges Méliès,1903,58,t
The Music Lover,Georges Méliès,1903,57,t
The Infernal Boiling Pot,Georges Méliès,1903,56,t
"Bob Kick, the Mischevious Kid",Georges Méliès,1903,55,t
Le Tonnerre de Jupiter,Georges Méliès,1903,54,t
Mary Jane's Mishap or Don't Fool With the Paraffin,G.A. Smith,1903,53,t
Extraordinary Cab Accident,Walter R. Booth,1903,52,t
A Desperate Poaching Affray,Walter Haggar,1903,51,t
Romance of the Rails,Edwin S. Porter,1903,50,t
The Georgetown Loop (Colorado),G.W. Bitzer,1903,49,t
Sick Kitten,G.A. Smith,1903,48,t
Move On,A.C. Abadie,1903,47,t
Street Car Chivalry,Edwin S. Porter,1903,46,t
Uncle Tom's Cabin,Edwin S. Porter,1903,45,t
Skyscrapers of New York City From North River,G.A. Smith,1903,44,t
From Show Girl to Burlesque Queen,A.E. Weed,1903,43,t
The Mermaid,Georges Méliès,1904,76,t
The Impossible Voyage,Georges Méliès,1904,69,t
The Hilarious Posters,Georges Méliès,1904,67,t
Tit for Tat,Georges Méliès,1904,66,t
The Living Playing Cards,Georges Méliès,1904,65,t
The Wonderful Living Fan,Georges Méliès,1904,64,t
The Clock Maker's Dream,Georges Méliès,1904,63,t
Untamable Whiskers,Georges Méliès,1904,62,t
The Cook in Trouble,Georges Méliès,1904,61,t
Imperceptible Transmutations,Georges Méliès,1904,60,t
Rescued by Rover,Lewin Fitzhamon & Cecil M. Hepworth,1904,59,t
The Events in Odessa,Lucien Nonguet,1904,58,t
"The Jonah Man: or, the Traveller Bewitched",Cecil M. Hepworth,1904,57,t
A Fire in a Burlesque Theater,A.E. Weed,1904,56,t
Buy Your Own Cherries,R.W. Paul,1904,55,t
