1999-11-09, Pigs and Battleships, Shôhei Imamura, 1961, 71,,
1999-11-19, julien donkey-boy, Harmony Korine, 1999, 60,, 1999
1999-11-20, Guinevere, Audrey Wells, 1999, 50,, 1999
1999-11-23, The Insect Woman, Shôhei Imamura, 1963, 67,,
1999-11-25, Sleepy Hollow, Tim Burton, 1999, 59,, 1999
1999-11-26, Luxo, Jr., John Lasseter, 1986, 55,,
1999-11-26, Toy Story 2, John Lasseter, 1999, 71,, 1999
1999-11-29, The Lovers on the Bridge, Leos Carax, 1991, 89,,
1999-12-03, Out of Sight, Steven Soderbergh, 1998, 75,, 1999
1999-12-04, The Bone Collector, Phillip Noyce, 1999, 37,, 1999
1999-12-07, The Profound Desire of the Gods, Shôhei Imamura, 1968, 65,,
1999-12-09, Same Old Song, Alain Resnais, 1997, 62,, 1999
1999-12-10, A Bug's Life, John Lasseter, 1998, 68,, 1999
1999-12-12, The Green Mile, Frank Darabont, 1999, 51,, 1999
1999-12-12, The General, John Boorman, 1998, 88,, 1999
1999-12-14, Eijanaika, Shôhei Imamura, 1981, 62,,
1999-12-18, Felicia's Journey, Atom Egoyan, 1999, 58,, 1999
1999-12-18, Ride With the Devil, Ang Lee, 1999, 58,, 1999
1999-12-20, Magnolia, Paul Thomas Anderson, 1999, 70,, 1999
1999-12-26, The Talented Mr. Ripley, Anthony Minghella, 1999, 68,, 1999
1999-12-28, Beauty and the Beast, Jean Cocteau, 1946, 91,,
1999-12-29, Some Like It Hot, Billy Wilder, 1959, 91,,
1999-12-30, Boys Don't Cry, Kimberly Peirce, 1999, 65,, 1999
1999-12-30, Last Night, Don McKellar, 1998, 61,, 1999
1999-12-31, Man on the Moon, Milos Forman, 1999, 56,, 1999
