WatchedDate,Title,Directors,Year,Rating
06/07/1998, The Truman Show, Peter Weir, 1998, 51
06/09/1998, Scandal Sheet, Phil Karlson, 1952, 55
06/09/1998, Swing, you Sinners, Richard Fleischer, 1930, 66
06/09/1998, How to Marry a Millionaire, Negulesco, 1953, 67
06/10/1998, Swing, you Sinners, Dave Fleischer, 1930, 66
06/10/1998, Gentlemen Prefer Blondes, Howard Hawks, 1953, 76
06/11/1998, The Shadow, Part 2: The Shadow Attacks, James W. Horne, 1940, 35
06/11/1998, Healthy, Wealthy and Dumb, Del Lord, 1938, 31
06/11/1998, It's a Mad Mad Mad Mad World, Stanley Kramer, 1963, 56
06/13/1998, A Friend of the Deceased, Vyacheslav Krishtofovich, 1997, 68
06/13/1998, Can't Hardly Wait, Deborah Kaplan and Harry Elfont, 1998, 24
06/14/1998, The Beyond, Lucio Fulci, 1981, 58
06/14/1998, Junk Mail, Pål Sletaune, 1997, 55
06/14/1998, Under the Skin, Carine Adler, 1997, 42
06/15/1998, The Object of My Affection, Nicholas Hytner, 1998, 60
06/16/1998, Mother and Son, Alexander Sokurov, 1997, 85
06/17/1998, Decalogue One, Krysztof Kieslowski, 1988, 90
06/18/1998, Decalogue Two, Krysztof Kieslowski, 1988, 86
06/18/1998, Decalogue Three, Krysztof Kieslowski, 1988, 88
06/19/1998, Decalogue Four, Krysztof Kieslowski, 1988, 85
06/20/1998, Clockwatchers, Jill Sprecher, 1997, 64
06/20/1998, Decalogue Five, Krysztof Kieslowski, 1988, 89
06/21/1998, Mulan, Tony Bancroft & Barry Cook, 1998, 56
06/21/1998, The X Files, Rob Bowman, 1998, 42
06/26/1998, The Exorcist, William Friedkin, 1973, 56
06/27/1998, Cousin Bette, Des McAnuff, 1998, 50
06/27/1998, Wilde, Brian Gilbert, 1997, 48
06/28/1998, Hav Plenty, Christopher Scott Cherot, 1997, 50
06/28/1998, Down Among the Sugar Cane, Dave Fleischer, 1932, 67
06/28/1998, Breakfast at Tiffany's, Blake Edwards, 1961, 77
06/29/1998, Les Misérables, Billie August, 1998, 61
06/29/1998, The Public Enemy, William Wellman, 1931, 71
06/30/1998, The Maltese Falcon, John Huston, 1941, 85
07/02/1998, Post Coitum, Brigitte Roüan, 1997, 61
07/03/1998, High Art, Lisa Cholodenko, 1998, 67
07/03/1998, In Cold Blood, Richard Brooks, 1967, 65
07/04/1998, I Went Down, Paddy Breathnach, 1997, 61
07/05/1998, Enter the Dragon, Robert Clouse, 1973, 54
07/05/1998, The Opposite of Sex, Don Roos, 1998, 55
07/06/1998, The 400 Blows, François Truffaut, 1959, 92
07/06/1998, Jules and Jim, François Truffaut, 1961, 96
07/07/1998, There's Something About Mary, Bobby & Peter Farrelly, 1998, 62
