WatchedDate,Title,Directors,Year,FsmcRating,Rating,
1998-04-10, Slacker, Richard Linklater, 1991, 92
1998-04-12, The Big One, Michael Moore, 1997, 62
1998-04-13, Mikey and Nicky, Elaine May, 1976, 78
1998-04-18, Ulysses' Gaze, Theo Angelopolous, 1995, 66
1998-04-23, Sonatine, Takeshi Kitano, 1993, 72
1998-04-24, The Delta, Ira Sachs, 1996, 61
1998-04-28, Ciy of Angels, Brad Silberling, 1998, 14
1998-05-02, Kurt and Courtney, Nick Broomfield, 1998, 62
1998-05-05, Betty Boop's Bamboo Isle, Dave Fleischer, 1932, 68
1998-05-05, Blonde Venus, Josef von Sternberg, 1932, 69
1998-05-06, Two Girls and a Guy, James Toback, 1998, 64
1998-05-08, The Spanish Prisoner, David Mamet, 1998, 64
1998-05-09, The Butcher Boy, Neil Jordan, 1998, 62
1998-05-09, He Got Game, Spike Lee, 1998, 32
1998-05-11, The Naked Kiss, Sam Fuller, 1964, 83
1998-05-16, Mouchette, Robert Bresson, 1967, 87
1998-05-21, A Single Girl, Benoît Jacquot, 1996, 70
1998-05-23, Character, Mike van Diem, 1997, 47
1998-05-23, Days of Being Wild, Wong Kar-Wai, 1991, 65
1998-05-24, I Think I Do, Brian Sloan, 1997, 44
1998-05-24, The Horse Whisperer, Robert Redford, 1998, 49
1998-05-25, Dancer, Texas Pop. 81, Tim McCanlies, 1998, 41
1998-05-25, The Man Who Would Be King, John Huston, 1975, 62
1998-05-26, Sliding Doors, Peter Howitt, 1997, 31
1998-05-28, Bulworth, Warren Beatty, 1998, 64
1998-05-30, Chinese Box, Wayne Wang, 1998, 60
1998-06-01, The Last Days of Disco, Whit Stillman, 1998, 75
1998-06-02, The Cool World, Shirley Clarke, 1963, 61
1998-06-05, The Battle, D.W. Griffith, 1911, 62
1998-06-05, The Female of the Species, D.W. Griffith, 1912, 67
1998-06-06, Wild Man Blues, Barbara Kopple, 1998, 48
1998-06-06, Fear and Loathing in Las Vegas, Terry Gilliam, 1998, 64
1998-06-07, The Truman Show, Peter Weir, 1998, 51
1998-06-09, Scandal Sheet, Phil Karlson, 1952, 55
1998-06-09, Swing, you Sinners, Richard Fleischer, 1930, 66
1998-06-09, How to Marry a Millionaire, Negulesco, 1953, 67
1998-06-10, Swing, you Sinners, Dave Fleischer, 1930, 66
1998-06-10, Gentlemen Prefer Blondes, Howard Hawks, 1953, 76
1998-06-11, The Shadow, Part 2: The Shadow Attacks, James W. Horne, 1940, 35
1998-06-11, Healthy, Wealthy and Dumb, Del Lord, 1938, 31
1998-06-11, It's a Mad Mad Mad Mad World, Stanley Kramer, 1963, 56
1998-06-13, A Friend of the Deceased, Vyacheslav Krishtofovich, 1997, 68
1998-06-13, Can't Hardly Wait, Deborah Kaplan and Harry Elfont, 1998, 24
1998-06-14, The Beyond, Lucio Fulci, 1981, 58
1998-06-14, Junk Mail, Pål Sletaune, 1997, 55
1998-06-14, Under the Skin, Carine Adler, 1997, 42
1998-06-15, The Object of My Affection, Nicholas Hytner, 1998, 60
1998-06-16, Mother and Son, Alexander Sokurov, 1997, 85
1998-06-17, Decalogue One, Krysztof Kieslowski, 1988, 90
1998-06-18, Decalogue Two, Krysztof Kieslowski, 1988, 86
1998-06-18, Decalogue Three, Krysztof Kieslowski, 1988, 88
1998-06-19, Decalogue Four, Krysztof Kieslowski, 1988, 85
