"Spiders, Part 1: The Golden Lake",Fritz Lang,1919,58,f
The Tantilizing Fly,Dave Fleischer,1919,48,t
Leaves From Satan's Book,Carl Theodor Dreyer,1921,60,f
"Spiders, Part 2: The Diamond Ship",Fritz Lang,1920,59,f
The Clown's Little Brother,Dave Fleischer,1920,55,t
The Ouija Board,Dave Fleischer,1920,54,t
Perpetual Motion,Dave Fleischer,1920,53,t
Fièvre,Louis Delluc,1921,67,f
Manhatta,Charles Sheeler & Paul Strand,1921,50,t
Modeling,Dave Fleischer,1921,48,t
The Smiling Madame Boudet,Germaine Dulac,1922,68,f
"Dr. Mabuse, the Gambler",Fritz Lang,1922,67,f
Bubbles,Dave Fleischer,1922,50,t
The Three Ages,Buster Keaton,1923,58,f
Voice of the Nightingale,Wladyslaw Starewicz,1923,53,t
The Lost World,Harry O. Hoyt,1925,58,f
Kino Pravda,Dziga Vertov,1925,42,t
Love Berry,Alexander Dovzhenko,1926,39,t
Sunrise,F.W. Murnau,1927,96,f
Swing You Sinners,Dave Fleischer,1930,66,t
Mechanical Principles,Ralph Steiner,1930,50,t
Aimless Walk,Alexander Hammid,1930,42,t
Surf and Seaweed,Ralph Steiner,1930,41,t
M,Fritz Lang,1931,88,f
Frankenstein,James Whale,1931,69,f
Vampyr,Carl Theodor Dreyer,1932,74,f
Freaks,Tod Browning,1932,80,f
Horsefeathers,Norman Z. McLeod,1932,78,f
Santa,Antonio Moreno,1932,46,f
King Kong,Marian C. Cooper & Ernest B. Schoedsack,1933,72,f
The Fatal Glass of Beer,Clyde Bruckman,1933,68,t
International House,A. Edward Sutherland,1933,56,f
It Happened One Night,Frank Capra,1934,83,f
It's a Gift,Norman Z. McLeod,1934,77,f
The Thin Man,W.S. Van Dyke,1934,73,f
The Woman of the Port,Arcady Boytler & Raphael J. Sevilla,1934,45,f
A Night at the Opera,Sam Wood,1935,92,f
Top Hat,Mark Sandrich,1935,71,f
Bride of Frankenstein,James Whale,1935,67,f
Pie in the Sky,Ralph Steiner,1935,64,t
Vámonos con Pancho Villa,Fernando de Fuentes,1935,60,f
"Synchromy, No. 2",Mary Ellen Bute & Ted Nemeth,1935,56,t
The Crime of Monsieur Lange,Jean Renoir,1936,80,f
Modern Times,Charles Chaplin,1936,86,f
Rose Hobart,Joseph Cornell,1936,78,t
Allá en el Rancho Grande,Fernando de Fuentes,1936,51,f
Cesar,Marcel Pagnol,1936,50,f
The Devil Doll,Tod Browning,1936,48,f
Allegretto,Oskar Fischinger,1936,47,t
The Awful Truth,Leo McCarey,1937,93,f
A Day at the Races,Sam Wood,1937,67,f
Snow White and the Seven Dwarfs,David Hand,1937,66,f
La Bête humaine,Jean Renoir,1938,82,f
J'accuse!,Abel Gance,1938,62,f
Room Service,William A. Seiter,1938,35,f
"Healthy, Wealthy and Dumb",Del Lord,1938,31,t
Ninotchka,Ernst Lubitsch,1939,64,f
Young Mr. Lincoln,John Ford,1939,55,f
The Philadelphia Story,George Cukor,1940,91,f
Pinocchio,Hamilton Luske & Ben Sharpsteen,1940,89,f
The Great Dictator,Charles Chaplin,1940,68,f
Fantasia,"Ben Sharpsteen, Samuel Armstrong, James Algar, Bill Roberts, Paul Satterfield, Jim Handley, Hamilton Luske, Ford Bee",1940,67,f
They Drive by Night,Raoul Walsh,1940,62,f
The Bank Dick,Edward F. Cline,1940,61,f
An American March,Oskar Fischinger,1940,50,t
Ahí está en detalle,Juan Bustillo Oro,1940,48,f
The Devil Bat,Jean Yarbrough,1940,46,f
Go West,Edward Buzzell,1940,40,f
"The Shadow, Part 14: The Sealed Room",James W. Horne,1940,35,t
"The Shadow, Part 2: The Shadow Attacks",James W. Horne,1940,35,t
"The Shadow, Part 8: The Shadow Rides the Rails",James W. Horne,1940,35,t
"The Shadow, Part 13: The Wheels of Death",James W. Horne,1940,35,t
Citizen Kane,Orson Welles,1941,100,f
Dumbo,Ben Sharpsteen,1941,72,f
Sullivan's Travels,Preston Sturges,1941,88,f
Meshes of the Afternoon,Maya Deren,1943,91,t
The Raven,Henri-Georges Clouzot,1943,86,f
Phantom Lady,Robert Siodmak,1943,74,f
The Leopard Man,Jacques Tourneur,1943,61,f
Another Dawn,Julio Bracho,1943,52,f
Wild Flower,Emilio Fernández,1943,50,f
At Land,Maya Deren,1944,83,t
Henry V,Laurence Olivier,1944,65,f
Bon Voyage,Alfred Hitchcock,1944,47,t
Aventure malgache,Alfred Hitchcock,1944,46,t
Dead of Night,"Alberto Cavalcanti, Charles Chrichton, Basil Dearden, and Robert Hamer",1945,90,f
Children of Paradise,Marcel Carné,1945,91,f
Detour,Edward G. Ulmer,1945,87,f
Mildred Pierce,Michael Curtiz,1945,80,f
My Name is Julia Ross,Joseph H. Lewis,1945,60,f
Campeón sin corona,Alejandro Galindo,1945,52,f
Open City,Roberto Rossellini,1946,90,f
The Big Sleep,Howard Hawks,1946,91,f
Gilda,King Vidor,1946,71,f
A Night in Casablanca,Archie Mayo,1946,45,f
Fireworks,Kenneth Anger,1947,90,t
Dead Reckoning,John Cromwell,1947,74,f
Dark Passage,Delmer Daves,1947,63,f
Miracle on 34th St.,George Seaton,1947,54,f
Hidden River,Emilio Fernández,1947,52,f
The Bicycle Thief,Vittorio De Sica,1948,93,f
Letter From an Unknown Woman,Max Ophuls,1948,91,f
They Live by Night,Nicholas Ray,1949,90,f
The Lady from Shanghai,Orson Welles,1948,89,f
Jour de fête,Jaques Tati,1948,81,f
The Treasure of the Sierra Madre,John Huston,1948,80,f
Rope,Alfred Hitchcock,1948,70,f
Caught,Max Ohpuls,1949,60,f
Hamlet,Laurence Olivier,1948,59,f
Maclovia,Emilio Fernández,1948,45,f
Color Rhapsodie,Mary Ellen Bute & Ted Nemeth,1948,43,t
Orpheus,Jean Cocteau,1949,89,f
Puce Moment,Kenneth Anger,1949,64,t
Adam's Rib,George Cukor,1949,63,f
Pueblerina,Emilio Fernández,1949,50,f
La Ronde,Max Ophüls,1950,66,f
Aventurera,Alberto Gout,1950,57,f
Rabbit's Moon,Kenneth Anger,1950,56,t
A Streetcar Named Desire,Elia Kazan,1951,73,f
The African Queen,John Huston,1951,66,f
An American in Paris,Vincente Minnelli,1951,65,f
The Thing From Another World,Christian Nyby,1951,63,f
Umberto D,Vittorio De Sica,1952,91,f
Ikiru,Akira Kurosawa,1952,85,f
The Importance of Being Earnest,Anthony Asquith,1952,66,f
Abstronic,Mary Ellen Bute & Ted Nemeth,1952,54,t
Ugetsu,Kenji Mizoguchi,1953,92,f
